,date,time,location,operator,flight #,pathway,type,registration,cn/in,aboard,fatalities,ground,summary
2758,09/15/1974,11:00,"phan rang, vietnam",air vietnam (south vietnam),706,da nang - saigon,boeing b-727-121c,xv-njc,19819,75.0,75,0.0,"hijacked. detonation of two hand grenades in the passenger compartment after the pilot refused to fly to hanoi, north vietnam. the aircraft attempted to land, executed a missed approach and dove into the ground from a height of 1,000 feet."
2779,11/20/1974,07:50,"near nairobi, kenya",lufthansa,540,nairobi - johannesburg,boeing b-747-130,d-abyb,19747/29,157.0,59,0.0,the aircraft stalled and crashed during takeoff. the wing flaps were not extended. first fatal boeing 747 accident to occur.
2781,12/01/1974,19:26,"bear mountain,  thiells, new york",northwest orient airlines,6231,"new york city, ny - buffalo, ny",boeing b-727-251,n274us,20296,3.0,3,0.0,"the aircraft stalled in a climb from which recovery was not effected. the loss of control of the aircraft because the flight crew failed to recognize and correct the aircraft's high-angle-of-attack, low-speed stall and its descending spiral. the stall was precipitated by the flight crew's improper reaction to erroneous airspeed and mach indications which had resulted from a blockage of the pitot heads by atmospheriicing. contrary to standard operational procedures, the flight crew had not activated the pitot head heaters."
2782,12/01/1974,11:10,"near berryville, virginia",trans world airlines,514,columbus - washington d.c.,boeing b-727-231,n54328,20306/791,92.0,92,0.0,the plane crashed into high terrain at approximately 270 mph during an approach to dulles airport. the crew's decision to descend before aircraft reached the approach segment. the crew ignored high terrain marked on the en route chart and continued their descent. lack of clarity in atc procedures. the issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. inadequate depiction of altitude restrictions on the profile view of the approach chart for the vor/dme approach to runway 12 at dulles international airport.
2795,01/09/1975,16:07,"whittier, california",golden west airlines / private,261,ontario - los angeles,de hav can. dhc-6 tw otter 100/ cessna,n6383,83,14.0,14,0.0,"midair collision between a dhc-6 and a cessna 150 at 2,200 feet while approaching ontario airport. twelve aboard the otter  and two aboard the cessna killed. the failure of both flight crews to see the other aircraft in sufficient time to initiate evasive action. this was because of the position of the sun, the closure angle of the aircraft and the necessity of the twin otter's flight crew to acquire visual contact with radar reported traffidirectly ahead of them."
2822,06/24/1975,16:05,"jfk airport, new york, new york",eastern air lines,66,new orleans - new york city,boeing b-727-225,n8845e,20443/837,124.0,113,0.0,"the aircraft crashed into the approach lights to runway 22l at jfk while on an ils approach to the runway. aircraft's encounter with heavy rain and a very strong thunderstorm that was located astride the ils localizer course which resulted in a high descent rate into approach light towers.the flightcrew's delayed recognition and correction of the high descent rate and their reliance upon visual cues rather than on flight instrument reference. however, the adverse winds might have been too severe for a successful approach and landing even had they relied upon and responded rapidly to the indications of the flight instruments.contributing to the accident was the continued use of runway 22l when it should have become evident to both air trafficontrol personnel and the flightcrew that a severe weather hazard existed along the approach path."
2835,08/07/1975,16:11,"denver, colorado",continental airlines,426,denver - wichita,boeing b-727-224,n88777,19798/608,131.0,0,0.0,"the aircraft climbed to about 100 feet above runway 35l and then crashed near the departure end of the runway. at the time of the accident, a thunderstorm with associated rain showers was moving over the northern portion of the airport. the aircraft's encounter, immediately following takeoff, with severe windshear at an altitude and airspeed which precluded recovery to level flight."
2837,08/20/1975,01:15,"near damascus, syria",ceskoslovenske aerolinie,542,"prague, czechoslovakia - damascus, syria",ilyushin il-62,ok-dbf,31502,128.0,126,0.0,"the airliner crashed into a sandy knoll, 10 miles ne of damascus during an approach to damascus international airport. failure of the crew to maintain the minimum flight altitude."
2840,08/30/1975,13:57,"near gambell, alaska",wien air alaska,99,nome - gambell,fairchild f-27b,n4904,21,32.0,10,0.0,"after several landing attempts, the aircraft crashed into sevuokuk mountain, in fog, while attempting to land at gambell airport. the flightcrew's failure to adhere to prescribed company instrument approach procedures while attempting to land in adverse weather conditions."
2862,01/01/1976,05:30,"near al qaysumah, saudi arabia",middle east airlines,438,beirut - dubai,boeing b-720b-023b,od-aft,18020/165,82.0,82,0.0,the aircraft broke-up at fl 370 and crashed in the desert. detonation of an explosive device in the forward cargo compartment.
2888,04/05/1976,08:19,"ketchikan, alaska",alaska airlines,60,juneau - ketchikan,boeing b-727-81,n124as,18821,50.0,1,0.0,the plane overran the runway after landing at excessive speed. the captain's faulty judgement in initiating a go-around after he was committed to a full stop landing following an excessively long and fast touchdown from an unstabilized approach.
2895,04/27/1976,15:10,"st. thomas, virgin islands",american airlines,625,new york city - saint thomas,boeing b-727-95,n1963,19837/499,88.0,37,0.0,"after touching down 2,200 feet down the runway, a go-around procedure was initiated. when there was no acceleration felt, the throttles were closed again. after attaining a nose-up attitude of 11 degrees, the aircraft ran off the end of the runway and struck a localizer antenna. the wingtip then clipped a hillside, the aircraft hit an embankment, went airborne and contacted the ground bursting into flames. the captain's actions and his judgement in initiating a go-around manoeuver with insufficient runway remaining after a long touchdown."
2899,05/09/1976,16:30,"near cuneca, spain",military - imperial iranian air force,228,"terhan, iran - madrid, spain - mcguire afb, new jersey",boeing b-747-131f,5-283,19677/73,17.0,17,0.0,the aircraft was struck by lightning while descending through fl100.  there was an explosion in the no. 1 fuel tank which caused the left wing to fail and the plane to crash. ignition of fuel vapor in the no.1 tank in the vicinity of the motor drive fuel valve.
2904,06/04/1976,14:48,"agana, guam",air manila,702,wake island - guam - manila,lockheed 188a electra,rp-c1061,1007,45.0,45,1.0,the no. 3 engine failed during the takeoff roll as the plane left agana naval air station. the aircraft began to rise but struck terrain and exploded in flames. the loss of climb capability after the crew retracted the flaps at too low an altitude to clear the rising terrain. the flaps were retracted after the no. 3 propeller feathered as the aircraft lifted off the runway. a driver in an automobile struck by the aircraft was killed.
2923,09/09/1976,14:50,"off adler, russia",aeroflot / aeroflot,7957 /31,donetsk - sochi /rostov na donu - kerch,antonov an-24 / yakovlev yak-40,46518/87772,37308504 / 9030713,90.0,90,0.0,"midair collision at fl187.  atc error. fifty-two deaths on the antonov, 38 on the yak. violation of separation rules. contributing causes were insufficient visual alertness on the part of both crews and a lack of situation analysis based on air/ground radio communications."
2924,09/10/1976,10:15,"near gaj, hrvatska, yugoslavia",inex adria aviopromet / british airways,330/476,split - koln / london - istanbul,mcdonnell douglas dc-9-31 / trident 3b,yu-ajr/g-awzt,47649741 / 2320,176.0,176,0.0,"midair collision. atc error, negligence in operations. improper look-out duties on both aircraft. one hundred thirteen deaths on the dc-9 and 63 on the trident. the entire shift of controllers were arrested. one was found guilty of criminal negligence and sentenced to seven years in jail but release after a little over two years."
2930,10/06/1976,13:24,"off bridgetown, barbados",cubana de aviacion,455,bridgetown - kingston,mcdonnell douglas dc-8-43,cu-t1201,45611/48,73.0,73,0.0,ten minutes after taking off from barbados the aircraft reported an explosion aboard. the plane was seen below the overcast trailing smoke. the aircraft crashed into the caribbean sea. detonation of an explosive device in the aft of the cabin which initiated an uncontrollable fire which led to the incapacitation of the crew.
2943,12/12/1976,23:26,"cape may, new jersey",atlanticity airlines,977,atlanticity - cap may,de havilland canada dhc-6 twin otter 300,n101ac,262,10.0,3,0.0,the plane crashed short of the runway in rain. windshear. the aircraft's rate of descent and descent flight path angle increased as a result of windshear encountered during visual approach below minimum descent altitude. the flight crew did not recognize these flightpath deviations because they were relying on visual references which were degraded by non-homogeneous fog and on kinestheticues which were adversely affected by the aircraft's forward center of gravity resulting from the improperly loaded aircraft.
2945,12/25/1976,03:45,"near bangkok, thailand",egyptair,864,cairo - bangkok,boeing b-707-366c,su-axa,20763,53.0,53,19.0,the aircraft crashed into an industrial area during a landing attempt. lack of altitude awareness and disorientation leading to an uncontrolled descent. crew did not make use of navigational aids.
2949,01/13/1977,18:15,"near alma ata,  kazakastan, ussr",aeroflot,3843,novosibirsk - alma ata,tupolev tu-104a,cccp-42369,86601203,96.0,96,0.0,"the aircraft was preparing to land when it was informed by the tower that its left engine was on fire. shortly thereafter, the plane exploded and crashed 2 miles short of the runway."
2963,03/27/1977,17:07,"tenerife, canary islands",pan american world airways / klm,1736/4805,tenerife - las palmas / tenerife - las palmas,boeing b-747-121 / boeing b-747-206b,n736pa/ph-buf,19643/11 / 20400/157,644.0,583,0.0,"both aircraft were diverted to tenerife because of a bombing at las palmas airport. after an extended delay,  both planes were instructed to back track up the runway. the klm plane reached its takeoff point while the pan am plane was still on the runway. the pan am plane continued up the runway missing the taxiway turnout. there was heavy fog on the runway. the klm plane began its takeoff roll without permission with the pan am plane still on the runway. the klm plane hit the pan am plane just as it was taking off. both planes burst into flames.  klm 234 + 14 crew,  pan am 326 + 9 crew killed. all aboard the klm plane were killed. the pan am aircraft was named clipper victor. the klm aircraft was named rhine river."
2966,04/04/1977,16:19,"new hope, georgia",southern airways,242,huntsville - atlanta,mcdonnell douglas dc-9-31,n1335u,47393/608,85.0,62,8.0,the aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. the plane crash landed on a highway and exploded in flames. total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.
2996,09/06/1977,14:52,"mt. iliamna, alaska",alaska aeronautical industries,302,iliamna - anchorage,de havilland canada dhc-6 twin otter 200,n563ma,196,13.0,13,0.0,"crashed in level flight  into mt. iliamna glacier at 7,000 feet. failure of the flight crew to use proper navigational procedures for the route being flown especially their failure to use the available backup means of navigation to verify the position and progress of the flight. recovery of bodies or wreckage not possible."
3009,11/19/1977,21:48,"near funchal, island of madeira, portugal",tap (air portugal),425,brussels - funchal,boeing b-727-282,cs-tbr,20972/1096,164.0,131,0.0,"the aircraft landed 1,000 ft. past the aiming point of the runway in heavy rain, overran the runway and plunged off a cliff during a third landing attempt. hydroplaning, due to poor drainage on the runway. excessive speed during landing."
3016,12/04/1977,20:15,"straits of johore, near kampung ladang, malaysia",malaysia airlines,653,penang - kuala lumpur,boeing b-737-2h6,9m-mbd,20585/306,100.0,100,0.0,"during a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp."
3020,12/13/1977,19:22,"evansville, indiana","national jet services inc.,  (air indiana)",216,evansville - nashville,douglas dc-3,n51071,4837,29.0,29,0.0,"the plane crashed during takeoff in rain and fog. killed, were the entire evansville basketball team. the aileron on one wing and rudder remained locked upon takeoff, which made it extremely difficult to bank. an attempted takeoff with the rudder and right aileron control locks installed, in combination with a rearward center of gravity. improperly loaded luggage which resulted in rearward center of gravity which resulted in the aircraft's rotating to a nose-high attitude immediately after takeoff and entering the region of reversed command from which the pilot was unable to recover."
3029,01/01/1978,20:15,"off bandra, maharashtra, india",air india,855,bombay - dubai,boeing b-747-237b,vt-ebd,19959/124,213.0,213,0.0,"following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness."
3035,02/10/1978,16:50,"richland, washington",columbia pacifiairlines,23,"richland, wa - seattle, wa",beechcraft 99,n199ea,u037,17.0,17,0.0,the aircraft crashed shortly after taking off from richland after climbing to 400 feet and stalling. crew error.  the failure and inability of the flightcrew to prevent rapid pitchup and stall by exerting sufficient push force on the control wheel. the pitchup was caused by the combination of a mistrimmed horizontal stabilizer and a center of gravity near the aircraft's aft limit. the mistrimmed condition resulted from discrepancies in the aircraft's trim system and the flightcrew's preoccupation with making a timely departure. the out-of-trim warning system was inoperative.
3036,02/11/1978,12:55,"cranbrook, british columbia, canada",pacifiwestern airlines,314,calgary - cranbrook,boeing b-737-275,c-fpwc,20142/253,49.0,42,0.0,"the aircraft touched down just as the crew noticed a snow plow on the runway. a go-around was initiated but the thrust reverses did not stow away properly because hydraulipower was automatically cut off at lift-off.  the aircraft missed the plow, overran the runway, crashed and burned. estimated time of arrival given by calgary atc in error. crew did not report over its final approach beacon."
3040,03/01/1978,09:25,"lax, los angeles, california",continental airlines,603,los angeles - honolulu,mcdonnell douglas dc-10-10,n68045,46904,200.0,2,0.0,"while approaching v1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. the crew decided to abort the takeoff. with the end of the runway approaching, the captain steered the aircraft off the runway to the right. the landing gear failed and resulted in a fire. the plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. this was to be pilot gene hershe's last flight before retiring."
3057,05/08/1978,21:20,"pensacola, florida",national airlines,193,"miami, fl - pensacola, fl - mobile, al",boeing b-727-235,n4744,19464,58.0,3,0.0,"the aircraft crashed while attempting a non-precision instrument approach to pensacola and landed in 12 feet of water, 3 nm short of the runway. failure of the crew to monitor altitude and descent rate and the failure of the 1st officer to provide the captain with the required altitude and approach performance call-outs. also the flight engineer disabled the gpws alarm so the crew could hear one another better. in addition, the night flight had been diverted from its primary airport due to poor weather and was required to execute a compressed approach (descending and approaching more quickly and steeply than normal), and the crucial altimeter readout was an old drum-roll-counter type (due to be replaced), which could easily be misread, especially in  heavy workload situations. three fatalities occurred when the frightened passengers grabbed their seat cushions and exited the plane from the rear. they drowned in part because their seat cushions were not flotation cushions. the airplane was not required to have floatation cushions because it was not flying over water."
3061,06/26/1978,08:08,"toronto, canada",air canada,189,toronto - winnipeg,mcdonnell douglas dc-9-32,c-ftlv,47197,107.0,2,0.0,"the aircraft overran the runway and crashed into a revine after an aborted takeoff due to a blown tire. the no. 3 tire failed on takeoff and debris damaged the right gear 'down and locked' switch, causing a gear unsafe indication in the cockpit. debris was also ingested by the no. 2 engine causing a loss of reverse thrust during the rejected takeoff."
3072,09/03/1978,17:30,"near kariba, rhodesia (zimbabwe)",air rhodesia,825,kariba - salisbury,vickers viscount 782d,vp-was,297,56.0,38,0.0,"the aircraft took off from  from kariba airport at 17.10.  shortly after departing kariba, the starboard wing was hit by a sam-7 missile.  the crew tried to make an emergency landing in a large clearing in the bush. the aircraft crash landed, striking an irrigation ditch, cart-wheeled, broke up and caught fire.  soldiers from the joshua nkomo's zimbabwe peoples revolution army, who were responsible for shooting down the airliner, later killed 10 of the 18 survivors. the remaining survivors were rescued the next day."
3079,09/25/1978,09:02,"san diego, california",pacifisouthwest airlines / private,182,los angeles - san diego,boeing b-727-214 / cessna 172,n533ps/n7711g,19688/589 /,137.0,137,7.0,"midair collision. the psa was descending and about to land at lindbergh field. the cessna was climbing while engaged in practice approaches. the 727 overtook and struck the cessna from the rear. the primary cause was the psa crew lost sight of the cessna and did not make that fact known to the atc.  the atc failed to realize from the psa transmissions that they lost sight of the cessna. one hundred thirty-five killed on the psa, two on the cessna and seven on the ground. crew fatigue may have played a part in the accident as there are unofficial reports that the crew attended an all night party and had only 2 hours sleep from the night before."
3098,12/04/1978,19:45,"near steamboat springs, coloado",rocky mountain airways,217,steamboat springs - denver,de havilland canada dhc-6 twin otter 300,n25rm,387,22.0,2,0.0,"forced to return to steamboat springs due to severe icing, the plane crashed into a 10,530 ft. mountain.  severe icing and strong downdraughts associated with a mountain wave which combined to exceed the aircraft's capability to maintain flight. contributing to the accident was the captain's decision to fly into probable icing conditions that exceeded the conditions authorized by company directives."
3103,12/23/1978,00:39,"near cinisi, sicily, italy",alitalia,4128,rome - palermo,mcdonnell douglas dc-9-32,i-dikq,47227/334,129.0,108,0.0,the aircraft crashed into ocean during a landing approach. poor monitoring of altitudes and too early a transition from ils to visual flight procedures.
3105,12/28/1978,18:15,"portland, oregon",united air lines,173,denver - portland,mcdonnell douglas dc-8-61,n8082u,45972/357,189.0,10,0.0,"while on a flight from denver to portland, the aircraft ran out of fuel while the crew was distracted with a landing gear problem. failure of the captain to monitor properly the aircraft's fuel state and to properly respond to the low fuel state as indicated by other crew members. contributing to the accident was the failure of the other two flight crew members either to fully comprehend the criticality of the fuel state or to successfully communicate their concern to the captain."
3114,02/12/1979,13:00,"clarksburg, west virginia",allegheny airlines,561,clarksburg - washington dc,nord 262,n29824,48,25.0,2,0.0,the plane crashed  inverted shortly after lifting off the ground. the captain's decision to take off with snow on the aircraft's wing and empennage surfaces which resulted in a loss of lateral control and a loss of lift as the aircraft ascended out of ground effect.
3122,03/06/1979,18:55,"near probolinggo, indonesia",garuda indonesia airlines,553,denpasar - surabaya,fokker f-28 fellowship 1000,pk-gvp,11094,4.0,4,0.0,"struck mt. bromo at 6,200 ft. while en route.."
3123,03/10/1979,17:52,"off marina del rey, california",swift aire lines inc.,235,new york - santa monica,aerospatiale nord 262a-33,n418sa,41,7.0,3,0.0,"the plane ditched into santa monica bay near marina del rey, shortly after taking off from santa monica airport. the flight crew's mismanagement of an emergency procedure following an autofeather of the right-hand propeller which resulted in their shutting down the remaining engine. a leak or break in the propeller pressure line probably caused the right engine to autofeather. the left engine was shut down when the flight crew failed to identify the engine on which the autofeather occurred and moved the left power lever to the stop position. contributing to the accident was the unavailability of vital restart information to the crew."
3137,05/25/1979,15:04,"chicago o'hare, illinois",american airlines,191,"chicago, il- los angeles, ca",mcdonnell douglas dc-10-10,n110aa,46510/22,271.0,271,2.0,"during takeoff just, as the plane lifted from the runway, the left engine and pylon separated from the aircraft damaging the wing and hydraulisystem which caused the aircraft to roll and crash. highest single plane death toll in u.s. aviation history. asymmetrical stall and the ensuing roll of the aircraft because of the uncommanded retraction of the left wing outboard leading edge slats and the loss of stall warning and slat disagreement indication systems caused by separation of the engine and pylon. improper maintenance procedures used by american airlines when dismounting the engines for maintenance, by removing the pylon and engine together, putting strain on the engine mounts leading to  stress cracks."
3141,05/30/1979,20:55,"rockland, maine",downeast airlines,46,boston - rockland,de havilland dhc-6-200,n68de,229,18.0,17,0.0,"the aircraft crashed into a wooded area during a non-precision approach to rockland, in fog . failure to arrest aircraft's descent rate, without the runway in sight. inordinate management pressures, the first officer's marginal instrument proficiency, the captain's inadequate supervision of the flight, inadequate crew training and the captain's chronifatigue were all factors in the accident."
3144,06/17/1979,22:48,"hyannis, massachusetts",air new england,248,"new york, ny - hyannis, ma",de havilland canada dhc-6 twin otter 300,n383ex,245,10.0,1,0.0,"the plane crashed in a heavily wooded area about 1.5 miles northeast of barnstable municipal airport while on an ils approach. the failure of the flightcrew to recognize and react in a timely manner to the gross deviation from acceptable approach parameters, resulting in a continuation of the descent well below the decision height during a precision approach without visual contact with the runway environment. pilot fatigue."
3150,07/24/1979,09:22,"st. croix, virgin islands",prinair,610,st. croix - st. kitts,de havilland dh-114 heron,n575pr,14125,21.0,8,0.0,the aircraft attained a nose-high attitude and pitched up shortly after taking off. the pilot's loss of control of the aircraft after takeoff because of the aircraft's grossly overweight and out-of-balance condition which resulted from misloading by the company's load control personnel. the misloading was due to the failure of the company to supervise and enforce its loading procedures.
3158,08/11/1979,13:35,"dneprodzerzhinsk, ukraine, ussr",aeroflot / aeroflot,7880,tashkent - donetsk - minsk /chelyabinsk to kishinev,tupolev tu-134a / tupolev tu-134a,65735/65816,2351516 / 05040,178.0,178,0.0,"midair collision at 27,200 ft. separation error by air trafficontroller. eight-four killed on the 65735 and 94 on the 65816. fourteen players and 3 staff members of the russian soccer team, pakhtakor tashkent were killed."
3166,09/14/1979,20:47,"near klamath falls, oregon",butler aviation inc.,-,redmond - klamath falls - medford,douglas dc-7,n455sw,44287,12.0,12,0.0,the plane was transporting company employees when it hit surveyor mountain 7 minutes after taking off from klamath falls. the plane hit trees along the crest of a mountain ridge along the flight path. crew error. the crew's decision to undertake a direct point-to-point high cruise speed flight at low altitude.
3178,10/31/1979,05:42,"mexico city, mexico",western airlines,2605,"los angeles, ca  - mexico city, mexico",mcdonnell douglas dc-10-10,n903wa,46929/107,88.0,72,1.0,"the aircraft struck a vehicle after landing on a closed runway in fog. the tower warned the flight three times about the closed runway. non-compliance with the meteorological minima for the approach procedure, as cleared.  failure to comply with the aircraft's operating procedures during the approach phase, and landing on a runway closed to traffic."
3186,11/26/1979,02:03,"near at ta'if, jeddah, saudi arabia",pakistan international airlines,740,jeddah - karachi,boeing b-707-340c,ap-awz,20275/844,156.0,156,0.0,after being airborne about a half an hour a cabin attendant reported a fire in the aft cabin area. seventeen minutes later the aircraft crashed into a rocky desert while attempting an emergency landing. the blaze may have been started by a passenger possibly from a leaking kerosene stove carried aboard by a haj pilgrim passenger.
3187,11/28/1979,12:49,"near mt. erebus, ross ice shelf, antarctica",air new zealand,901,auckland - christchurch,mcdonnell douglas dc-10-30,zk-nzp,46910/182,257.0,257,0.0,"the aircraft crashed into the slopes of mt. erebus while on sightseeing flight to antarctica. an incorrect computer-stored flight plan resulted in a navigational error directing the flight towards mt. erebus. because of overcast, the crew descended below authorized altitude. contributing to the accident was the crew's inexperience with flying the antarctiroute. information about the navigational errors was suppressed by officials."
3206,03/14/1980,11:00,"near warsaw, poland",lot polish airlines,007,new york city - warsaw,ilyushin il-62,sp-laa,11004,87.0,87,0.0,"while attempting to land at warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. when thrust was applied, the no. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. the plane crashed one-half mile from the runway threshold. metal fatigue in the no. 2 engine turbine disc. the dead included 22 members of the u.s. boxing team and polish singer anna jantar. the aircraft was named mikolaj kopernik."
3214,04/25/1980,13:21,"tenerife, canary islands",dan air services,1008,manchester - tenerife,boeing b-727-64,g-bdan,19279/288,146.0,146,0.0,"the plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to tenerife. the pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. lack of communication between the pilot and co-pilot."
3215,04/27/1980,06:55,"don muang, thailand",thai airways,231,khon kaen - bangkok,hawker siddeley hs-748-2,hs-thb,1568,53.0,44,0.0,"the aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of bangkok international airport. the pilot directed the aircraft into a thunderstorm in an early dissipating stage.  the aircraft was severely affected by a downdraft and lost altitude rapidly. at that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. procedural error by the pilot. was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather."
3223,06/12/1980,15:46,"valley, nebraska",air wisconsin,965,"appleton, wi - minneapolis, mn, - lincoln, ne",swearingen 226tc metro ii,n6505,tc-228,15.0,13,0.0,after penetrating a thunderstorm massive amounts of water cause both engine to lose power. although the engines were restarted the crew could not recover and crashed into a field. engine failure due to massive ingestion of water into both engines. crew error. unwise decision to enter an area of thunderstorms. critical weather not disseminated.
3226,06/27/1980,20:59,"tyrrhenian sea,  off ustica, italy",itavia,870,bologna - palermo,mcdonnell douglas dc-9-15,i-tigi,45724/22,81.0,81,0.0,"two libyan mig aircraft concealed themselves from radar detection by flying closely to the dc-9. when this was discovered, an attempt was made by either french or us aircraft to intercept the migs. it was believed that a shot fired at the migs accidentally struck itavia flight 870. the aircraft exploded and crashed off the island of ustica. a report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash."
3228,07/07/1980,00:39,"nar alma-ata, kasakastan, ussr",aeroflot,4225,alma ata - simferopol,tupolev tu-154b,cccp-85355,355,166.0,166,0.0,the aircraft crashed and burned in a field 2 minutes after takeoff. windshear.
3240,08/19/1980,19:08,"near riyadh, saudi arabia",saudi arabian airlines,163,riyadh - jeddah,lockheed 1011-200 tristar,hz-ahk,1169,301.0,301,0.0,"the flight experienced a fire in the aft cargo compartment  6 minutes after taking off from rilyadh. the plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. half a minute before landing the captain decided not to order an emergency evacuation.  when he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. it took a full twenty-three minutes after touchdown before the doors were opened. the failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation."
3262,01/20/1981,11:27,"spokane, washington",cascade airways,201,moses lake - spokane,beechcraft 99a,n390ca,u-101,9.0,7,0.0,"during an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. a fire started in the area of the right engine and spread throughout the fuselage. a premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above mda."
3279,04/17/1981,16:01,"loveland, colorado",air us / private,716 / -,"denver, co - gillette, wy",hadley page 137jetstream i / cessna 206,n11360 / n4862f,238,19.0,15,0.0,"a midair collision occurred 2 nm east-southeast of loveland, colorado at 13,000 ft.. two killed and 3 injured on the cessna and 13 killed on the jetstream. the failure of the cessna pilot to establish communications with the denver center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways."
3282,05/07/1981,10:53,"rio de la plata, argentina",austral lineas aeras (argentina),901,tucuman - buenos aires,bac one-eleven 529fr,lv-lox,212,31.0,31,0.0,the aircraft crashed into a river bed after two missed approaches and while in a holding pattern. severe turbulence and thunderstorms where occurring in area. loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. windshear.
3301,08/22/1981,10:00,"near sanyi, miao-li, taiwan",far eastern air transport,103,taipei - kaohsiung,boeing b-737-222,b-2603,19939/151,110.0,110,0.0,the aircraft experienced in-flight structural failure. severe corrosion in belly of plane led to a pressure hull rupture and disintegration of the plane.
3310,10/06/1981,17:12,"moerdijk, netherlands",nlm (nederlandse luchtvaart maatschappij),431,rotterdam - eindhoven - hamburgh,fokker f-28 fellowship 4000,ph-chi,11141,17.0,17,0.0,the aircraft entered an area of severe turbulence and a tornado which resulted in the separation of the right wing and in-flight break up.
3319,12/01/1981,08:53,"mt. san pietro, near ajaccio, corsica, france",inex adria aviopromet (yugoslavia),jp1308,ljubljana - ajaccio,mcdonnell douglas md-81,yu-ana,48047/998,180.0,180,0.0,the aircraft crashed into a mountain during an approach to camp dell oro airport in heavy fog. the crew was not properly prepared for the approach. the minimum altitude and maximum speed limits of the holding pattern were probably not retained. imprecise language used by the crew and air trafficontroller.
3329,01/13/1982,16:01,"washington, d.c.",air florida,90,"washington d.c. - fort lauderdale, fl",boeing b-737-222,n62af,19556/130,79.0,74,4.0,"the aircraft crashed into the 14th st. bridge and the potomariver and sank shortly after taking off from washington national airport. the aircraft reached a peak altitude of 300 ft. the flight crew's failure to use the engine anti-icing system during takeoff. failure to de-ice the plane a second time before takeoff and taking off with snow/ice on the airfoil surfaces of the aircraft. ice which accumulated on the engine pressure probes resulted in erroneously high engine pressure ratio (epr) readings. when the throttles were set to takeoff epr, the engines were actually developing significantly less than takeoff thrust. the crew's inexperience in icing condtions was a contributing factor."
3331,01/23/1982,19:36,"logan airport,  boston, massachusett",world airways,30h,"newark, nj - boston, ma",mcdonnell douglas dc-10-30cf,n113wa,47821/320,212.0,2,0.0,"while landing on an icy runway, the aircraft touched down 2,800 feet beyond the displaced threshold and slid off the end of the runway into shallow water with the nose section detaching. the minimal braking effectiveness on the ice-covered runway. the crew landed without sufficient information as to runway conditions. lack of faa regulations. the pilot's decision to retain autothrottle speed control throughout the flare and the consequent extended touchdown point on the runway contributed to the severity of the accident."
3336,02/09/1982,08:47,"tokyo, japan",japan air lines,350,fukuoka - tokyo,mcdonnell douglas dc-8-61,ja-8061,45889/291,174.0,24,0.0,"the aircraft flew into shallow water, 100 yards meters short of the runway, after a struggle between a mentally ill captain and the co-pilot and flight engineer. the plane hit approach-light stanchions extending above the bay waters after which the nose broke off. during the approach, the captain, known to have mental problems, put the inboard engines into reverse in an attempt to destroy the aircraft while the co-pilot and flight engineer battled to restrain him."
